Gender,Age,EmploymentStatus,NotificationType,Debt,HasPaid
0,44,3,0,830,0
0,50,2,0,300,0
0,29,0,0,1330,0
0,62,0,0,120,0
1,22,0,0,874,0
0,76,0,0,390,0
0,23,0,0,1100,0
1,27,2,1,300,1
0,22,2,0,480,1
0,53,2,0,910,0
0,29,0,0,740,0
0,52,2,0,473,0
0,32,0,0,300,0
1,53,3,0,564,0
0,57,2,0,550,0
0,29,0,0,600,0
1,35,2,1,175,1
0,23,0,0,400,1
0,72,0,0,390,0
0,34,0,0,980,0
1,50,3,0,287,0
0,26,0,0,408,0
0,41,0,0,522,0
0,27,0,0,240,0
0,59,2,1,120,1
0,32,2,0,490,0
0,32,2,0,490,0
0,28,0,0,300,0
0,29,3,0,402,1
0,39,3,0,120,0
0,29,2,0,410,0
1,65,0,0,229,0
0,45,0,0,300,0
0,28,2,1,355,0
0,28,2,1,355,0
0,58,0,0,875,0
0,46,2,0,1320,0
1,21,2,0,437,0
1,52,2,1,600,0
0,50,2,0,446,1
0,50,2,0,446,1
0,39,0,0,600,0
0,32,2,1,300,0
0,57,0,0,300,0
0,63,0,0,295,0
1,35,0,0,992,0
1,35,0,0,992,0
0,31,0,0,240,0
0,33,0,0,338,0
1,61,0,0,480,0
1,61,0,0,480,0
0,43,2,0,550,1
0,29,0,0,1100,0
0,28,0,0,300,1
0,30,2,0,384,0
0,30,2,0,384,0
0,40,0,0,808,0
0,25,0,0,415,0
0,52,2,0,550,1
0,32,2,1,428,0
0,39,0,0,300,0
0,30,2,1,600,0
0,30,2,1,600,0
0,45,2,1,900,0
0,39,0,0,600,0
0,55,2,1,960,0
0,55,2,1,960,0
0,25,2,0,628,0
0,39,2,0,336,1
0,36,0,0,628,0
0,36,0,0,628,0
0,30,0,0,600,0
1,56,2,1,263,0
0,23,3,0,896,0
0,55,2,1,240,0
0,62,0,0,628,0
0,51,0,0,300,0
0,41,0,0,526,0
0,54,2,1,266,0
0,38,0,0,266,0
0,20,2,0,311,0
0,27,2,0,704,0
0,30,2,1,448,1
1,52,0,0,314,1
0,48,2,1,900,0
0,28,0,0,600,0
0,38,2,0,443,0
0,32,2,0,896,0
0,21,2,1,435,0
1,40,0,0,1200,0
0,39,2,1,406,1
0,39,2,1,406,1
0,60,3,0,300,1
0,60,3,0,300,1
1,48,2,1,406,1
0,23,2,1,416,0
0,23,2,1,416,0
0,22,0,0,364,1
0,46,2,0,415,0
0,35,0,0,400,0
0,55,0,0,902,0
0,55,0,0,902,0
0,32,0,0,414,0
0,63,2,1,175,0
0,35,3,0,367,1
0,30,0,0,800,0
0,25,0,0,1450,0
0,46,2,0,1024,0
1,31,0,0,403,1
0,38,0,0,896,0
0,34,2,1,600,0
1,57,2,0,251,0
0,45,0,0,350,0
0,50,0,0,464,0
0,50,0,0,464,0
1,42,2,1,600,0
0,52,3,0,240,0
1,25,2,0,346,0
1,25,2,0,346,0
0,52,2,0,440,0
0,52,2,0,440,0
0,21,2,0,416,0
0,43,2,0,550,0
0,33,0,0,600,0
0,24,0,0,336,0
0,24,0,0,336,0
0,47,0,0,890,0
0,47,0,0,890,0
0,24,3,0,600,1
1,64,2,1,600,1
1,29,0,0,240,0
0,37,2,1,424,0
0,48,0,0,373,0
0,29,2,0,1024,0
0,29,2,0,1024,0
0,29,2,1,1088,1
0,25,3,0,480,0
1,40,2,0,448,1
0,30,0,0,1197,0
0,25,2,1,300,1
1,50,0,0,300,1
0,24,2,1,992,0
0,34,2,1,550,1
1,22,2,0,254,0
1,49,0,0,300,0
0,46,0,0,526,0
0,46,1,0,512,0
1,25,0,0,2104,0
1,25,0,0,2104,0
0,65,2,0,912,0
0,57,3,0,1200,0
0,46,1,0,550,1
1,55,0,0,960,0
1,25,3,0,422,1
0,62,0,0,696,0
0,32,0,0,642,0
0,32,0,0,642,0
0,28,2,0,520,1
0,34,2,1,438,0
0,36,0,0,900,0
0,41,0,0,688,0
0,27,0,0,300,0
0,24,0,0,300,0
1,64,0,0,600,0
1,64,0,0,600,0
0,42,0,0,550,0
0,42,0,0,550,0
0,28,0,0,295,0
0,88,0,0,390,0
0,38,2,1,300,0
0,37,2,1,480,0
1,65,2,1,371,0
1,65,2,1,371,0
0,44,0,0,600,0
0,28,0,0,692,1
0,35,2,0,1078,0
1,36,2,1,392,0
1,36,2,1,392,0
0,35,0,0,1536,0
0,65,2,0,912,0
0,55,2,1,240,0
1,26,0,0,920,0
0,42,2,1,448,0
0,34,0,0,976,0
0,50,2,0,832,0
0,47,2,0,752,0
0,27,1,0,550,0
0,34,0,0,976,0
0,54,2,1,300,0
0,34,2,1,416,1
0,57,2,0,736,0
1,31,2,1,512,0
1,29,0,0,600,0
1,27,2,1,600,1
0,45,2,0,569,0
0,23,2,0,486,0
0,23,0,0,384,0
0,35,0,0,300,0
0,22,2,1,388,0
0,42,0,0,250,0
0,42,0,0,250,0
0,31,2,0,550,1
0,34,0,0,802,0
0,37,2,1,475,0
0,31,0,0,300,1
0,34,0,0,864,0
0,32,0,0,642,0
0,61,0,0,323,0
0,39,0,0,240,0
0,24,2,0,900,0
0,21,2,0,600,0
1,42,3,0,550,1
0,37,2,0,838,0
1,61,0,0,390,0
0,63,0,0,449,0
0,30,2,1,850,0
0,62,0,0,1430,0
0,42,2,0,954,0
0,42,2,0,954,0
0,55,2,0,300,0
0,55,2,0,300,0
0,52,1,0,550,0
0,29,2,0,550,0
0,27,2,1,821,0
0,27,2,0,1440,0
0,27,2,0,1440,0
0,33,0,0,600,0
